-1.35  0 0.01 0
-1.25  0.0432885 0.01 0.0352236
-1.15  0.0384388 0.01 0.000522501
-1.05  0.0273395 0.01 0.00213526
-0.95  0.0187926 0.01 0.0020257
-0.85  0.0120048 0.01 0.00178208
-0.75  0.00593509 0.01 0.00164574
-0.65  0.00205498 0.01 0.00148365
-0.55  -0.00115787 0.01 0.00118683
-0.45  -0.00270794 0.01 0.00117858
-0.35  -0.00355866 0.01 0.000872259
-0.25  -0.00348747 0.01 0.000616218
-0.15  -0.0031607 0.01 0.000398288
-0.05  -0.00207655 0.01 0.000166377
0.05  -0.00141793 0.01 0.000303363
0.15  3.45011e-05 0.01 0.000207268
0.25  0.000453006 0.01 0.000536719
0.35  0.000373882 0.01 0.000762497
0.45  -0.000503029 0.01 0.000898774
0.55  -0.00265781 0.01 0.000894436
0.65  -0.00607655 0.01 0.00194298
0.75  -0.00897539 0.01 0.00447679
0.85  -0.0168563 0.01 0.0158772
0.95  -0.0218245 0.01 0.068605
1.05  -0.0216152 0.01 0.0283893
1.15  -0.0278926 0.01 0.0745569
1.25  0 0.01 0
1.35  0 0.01 0
