-1.35  0 0.01 0
-1.25  0.0197717 0.01 0.0148826
-1.15  -0.00128548 0.01 0.000576804
-1.05  -0.000500195 0.01 0.00048997
-0.95  0.00120614 0.01 0.000443467
-0.85  0.0025981 0.01 0.000407673
-0.75  0.00395574 0.01 0.00037917
-0.65  0.00581264 0.01 0.000359771
-0.55  0.0073719 0.01 0.000339619
-0.45  0.00773534 0.01 0.000326954
-0.35  0.00934979 0.01 0.000317464
-0.25  0.00952064 0.01 0.000308067
-0.15  0.0101057 0.01 0.000302506
-0.05  0.00951381 0.01 0.000302643
0.05  0.00995972 0.01 0.000301503
0.15  0.010183 0.01 0.000303625
0.25  0.00841847 0.01 0.000308244
0.35  0.00851257 0.01 0.000317156
0.45  0.00780123 0.01 0.000328325
0.55  0.00597317 0.01 0.000333499
0.65  0.00492512 0.01 0.000353013
0.75  0.00221336 0.01 0.000442292
0.85  0.00150936 0.01 0.00057531
0.95  -0.00610191 0.01 0.000937003
1.05  -0.0175599 0.01 0.00302245
1.15  0.0829003 0.01 0.0896637
1.25  0 0.01 0
1.35  0 0.01 0
