-1.35  0 0.01 0
-1.25  -0.291152 0.01 0.141158
-1.15  -0.00971779 0.01 0.000687945
-1.05  -0.0114321 0.01 0.00052962
-0.95  -0.00901892 0.01 0.000492001
-0.85  -0.0063105 0.01 0.000462219
-0.75  -0.0052023 0.01 0.000437322
-0.65  -0.00374893 0.01 0.000409302
-0.55  -0.00186584 0.01 0.000380822
-0.45  -0.00116796 0.01 0.000364342
-0.35  0.000728012 0.01 0.000377913
-0.25  0.00129381 0.01 0.000361726
-0.15  0.00224342 0.01 0.000352559
-0.05  0.00134677 0.01 0.000339312
0.05  2.53111e-05 0.01 0.000327663
0.15  0.00551173 0.01 0.000329907
0.25  0.0252067 0.01 0.0234045
0.35  0 0.01 0
0.45  0 0.01 0
0.55  0 0.01 0
0.65  0 0.01 0
0.75  0 0.01 0
0.85  0 0.01 0
0.95  0 0.01 0
1.05  0 0.01 0
1.15  0 0.01 0
1.25  0 0.01 0
1.35  0 0.01 0
