-1.35  0 0.01 0
-1.25  0.0197717 0.01 0.0304748
-1.15  -0.00128548 0.01 0.000909225
-1.05  -0.000500195 0.01 0.000529391
-0.95  0.00120614 0.01 0.000420472
-0.85  0.0025981 0.01 0.000248024
-0.75  0.00395574 0.01 0.000383334
-0.65  0.00581264 0.01 0.000542558
-0.55  0.0073719 0.01 0.000330165
-0.45  0.00773534 0.01 0.000266997
-0.35  0.00934979 0.01 0.000368075
-0.25  0.00952064 0.01 0.000238346
-0.15  0.0101057 0.01 0.000701667
-0.05  0.00951381 0.01 8.15132e-05
0.05  0.00995972 0.01 0.00017777
0.15  0.010183 0.01 0.000321228
0.25  0.00841847 0.01 0.000722699
0.35  0.00851257 0.01 0.000414723
0.45  0.00780123 0.01 0.000491954
0.55  0.00597317 0.01 0.00054631
0.65  0.00492512 0.01 0.000656378
0.75  0.00221336 0.01 0.00137626
0.85  0.00150936 0.01 0.00998801
0.95  -0.00610191 0.01 0.0538322
1.05  -0.0175599 0.01 0.0236867
1.15  0.0829003 0.01 0.199242
1.25  0 0.01 0
1.35  0 0.01 0
