-1.35  0 0.01 0
-1.25  0.0432885 0.01 0.0072362
-1.15  0.0384388 0.01 0.000280147
-1.05  0.0273395 0.01 0.00023806
-0.95  0.0187926 0.01 0.000215515
-0.85  0.0120048 0.01 0.000198163
-0.75  0.00593509 0.01 0.00018432
-0.65  0.00205498 0.01 0.000174891
-0.55  -0.00115787 0.01 0.000165113
-0.45  -0.00270794 0.01 0.000158925
-0.35  -0.00355866 0.01 0.000154325
-0.25  -0.00348747 0.01 0.000149725
-0.15  -0.0031607 0.01 0.00014702
-0.05  -0.00207655 0.01 0.00014706
0.05  -0.00141793 0.01 0.000146536
0.15  3.45011e-05 0.01 0.00014756
0.25  0.000453006 0.01 0.000149783
0.35  0.000373882 0.01 0.000154127
0.45  -0.000503029 0.01 0.000159579
0.55  -0.00265781 0.01 0.000162098
0.65  -0.00607655 0.01 0.000171572
0.75  -0.00897539 0.01 0.000214961
0.85  -0.0168563 0.01 0.000279759
0.95  -0.0218245 0.01 0.000455251
1.05  -0.0216152 0.01 0.00146651
1.15  -0.0278926 0.01 0.0436157
1.25  0 0.01 0
1.35  0 0.01 0
