-1.35  0 0.01 0
-1.25  -0.247417 0.01 0.0718492
-1.15  0.0672062 0.01 0.000333048
-1.05  0.0557054 0.01 0.000256489
-0.95  0.0457853 0.01 0.000238318
-0.85  0.0352536 0.01 0.000224099
-0.75  0.0292139 0.01 0.000212025
-0.65  0.0225426 0.01 0.000198546
-0.55  0.0156911 0.01 0.000184825
-0.45  0.00846913 0.01 0.00017683
-0.35  0.00751995 0.01 0.000183459
-0.25  0.0043789 0.01 0.000175607
-0.15  0.00164689 0.01 0.000171182
-0.05  -1.22456e-05 0.01 0.000164711
0.05  -0.00249845 0.01 0.000159095
0.15  -0.000926569 0.01 0.000160228
0.25  0.0222062 0.01 0.0113278
0.35  0 0.01 0
0.45  0 0.01 0
0.55  0 0.01 0
0.65  0 0.01 0
0.75  0 0.01 0
0.85  0 0.01 0
0.95  0 0.01 0
1.05  0 0.01 0
1.15  0 0.01 0
1.25  0 0.01 0
1.35  0 0.01 0
