-1.35  0 0.01 0
-1.25  0 0.01 0
-1.15  -0.0010417 0.01 0.205991
-1.05  -0.0100686 0.01 0.000675667
-0.95  -0.00872824 0.01 0.000506289
-0.85  -0.00878663 0.01 0.00038497
-0.75  -0.00754812 0.01 0.000155532
-0.65  -0.00592196 0.01 0.00018757
-0.55  -0.00485485 0.01 0.000156473
-0.45  -0.00487781 0.01 0.00023514
-0.35  -0.00449133 0.01 0.000207211
-0.25  -0.00394402 0.01 4.31159e-05
-0.15  -0.00321167 0.01 0.000132885
-0.05  -0.00342735 0.01 7.5033e-05
0.05  -0.00340319 0.01 0.000123903
0.15  -0.00429506 0.01 0.000302497
0.25  -0.0027831 0.01 0.00099951
0.35  -0.00308463 0.01 0.00256188
0.45  0 0.01 0
0.55  0 0.01 0
0.65  0 0.01 0
0.75  0 0.01 0
0.85  0 0.01 0
0.95  0 0.01 0
1.05  0 0.01 0
1.15  0 0.01 0
1.25  0 0.01 0
1.35  0 0.01 0
