-1.35  0 0.01 0
-1.25  0 0.01 0
-1.15  -0.0010417 0.01 0.00354564
-1.05  -0.0100686 0.01 0.000418241
-0.95  -0.00872824 0.01 0.000360152
-0.85  -0.00878663 0.01 0.000327315
-0.75  -0.00754812 0.01 0.0002997
-0.65  -0.00592196 0.01 0.000282611
-0.55  -0.00485485 0.01 0.000268446
-0.45  -0.00487781 0.01 0.000255246
-0.35  -0.00449133 0.01 0.000247789
-0.25  -0.00394402 0.01 0.000245834
-0.15  -0.00321167 0.01 0.000240567
-0.05  -0.00342735 0.01 0.000239418
0.05  -0.00340319 0.01 0.000240122
0.15  -0.00429506 0.01 0.000243446
0.25  -0.0027831 0.01 0.000333068
0.35  -0.00308463 0.01 0.00154107
0.45  0 0.01 0
0.55  0 0.01 0
0.65  0 0.01 0
0.75  0 0.01 0
0.85  0 0.01 0
0.95  0 0.01 0
1.05  0 0.01 0
1.15  0 0.01 0
1.25  0 0.01 0
1.35  0 0.01 0
