-1.35  0 0.01 0
-1.25  0 0.01 0
-1.15  -0.0263746 0.01 0.00365148
-1.05  -0.0203232 0.01 0.000452502
-0.95  -0.0193364 0.01 0.000389541
-0.85  -0.0184572 0.01 0.000357315
-0.75  -0.0171162 0.01 0.000330401
-0.65  -0.0156954 0.01 0.000309339
-0.55  -0.0151513 0.01 0.000293652
-0.45  -0.0140088 0.01 0.000280371
-0.35  -0.013529 0.01 0.000272684
-0.25  -0.0135391 0.01 0.000268759
-0.15  -0.012684 0.01 0.000262077
-0.05  -0.0120866 0.01 0.000258656
0.05  -0.0123639 0.01 0.000262489
0.15  -0.0126074 0.01 0.000264898
0.25  -0.0125417 0.01 0.000361541
0.35  -0.00940938 0.01 0.00173081
0.45  0 0.01 0
0.55  0 0.01 0
0.65  0 0.01 0
0.75  0 0.01 0
0.85  0 0.01 0
0.95  0 0.01 0
1.05  0 0.01 0
1.15  0 0.01 0
1.25  0 0.01 0
1.35  0 0.01 0
