-1.35  0 0.01 0
-1.25  0 0.01 0
-1.15  0.0428988 0.01 0.0281982
-1.05  0.0310162 0.01 0.00042257
-0.95  0.0205659 0.01 0.0015018
-0.85  0.0121788 0.01 0.00154133
-0.75  0.00600603 0.01 0.00138305
-0.65  0.00140089 0.01 0.00128965
-0.55  -0.00210341 0.01 0.00108312
-0.45  -0.00380442 0.01 0.000952296
-0.35  -0.00431694 0.01 0.000773789
-0.25  -0.00381229 0.01 0.00056367
-0.15  -0.00277077 0.01 0.000302261
-0.05  -0.0012113 0.01 0.00012819
0.05  0.000571629 0.01 0.000272033
0.15  0.00235916 0.01 0.000703946
0.25  0.00573842 0.01 0.000677815
0.35  0.00897718 0.01 0.0014603
0.45  0 0.01 0
0.55  0 0.01 0
0.65  0 0.01 0
0.75  0 0.01 0
0.85  0 0.01 0
0.95  0 0.01 0
1.05  0 0.01 0
1.15  0 0.01 0
1.25  0 0.01 0
1.35  0 0.01 0
