-1.35  0 0.01 0
-1.25  0 0.01 0
-1.15  -0.0263746 0.01 0.0721255
-1.05  -0.0203232 0.01 0.000942674
-0.95  -0.0193364 0.01 0.000467366
-0.85  -0.0184572 0.01 0.000685953
-0.75  -0.0171162 0.01 0.000313866
-0.65  -0.0156954 0.01 0.00032184
-0.55  -0.0151513 0.01 0.000401307
-0.45  -0.0140088 0.01 0.000217274
-0.35  -0.013529 0.01 0.00026031
-0.25  -0.0135391 0.01 0.000397154
-0.15  -0.012684 0.01 0.000313822
-0.05  -0.0120866 0.01 0.000349213
0.05  -0.0123639 0.01 0.000227951
0.15  -0.0126074 0.01 0.000703594
0.25  -0.0125417 0.01 0.00122793
0.35  -0.00940938 0.01 0.00377565
0.45  0 0.01 0
0.55  0 0.01 0
0.65  0 0.01 0
0.75  0 0.01 0
0.85  0 0.01 0
0.95  0 0.01 0
1.05  0 0.01 0
1.15  0 0.01 0
1.25  0 0.01 0
1.35  0 0.01 0
