-1.35  0 0.01 0
-1.25  0 0.01 0
-1.15  0.0571627 0.01 0.00544872
-1.05  0.0605281 0.01 0.000331191
-0.95  0.0482954 0.01 0.00123556
-0.85  0.0386958 0.01 0.00103744
-0.75  0.0307481 0.01 0.00105521
-0.65  0.0230369 0.01 0.00088226
-0.55  0.0166557 0.01 0.000711239
-0.45  0.0115762 0.01 0.000667591
-0.35  0.00732769 0.01 0.00052495
-0.25  0.00465229 0.01 0.000578022
-0.15  0.00205085 0.01 0.000555394
-0.05  0.000231073 0.01 0.000445058
0.05  -0.00214392 0.01 0.000304643
0.15  -0.00395093 0.01 0.000343985
0.25  -0.00152914 0.01 0.00127901
0.35  -0.00644697 0.01 0.0022748
0.45  0 0.01 0
0.55  0 0.01 0
0.65  0 0.01 0
0.75  0 0.01 0
0.85  0 0.01 0
0.95  0 0.01 0
1.05  0 0.01 0
1.15  0 0.01 0
1.25  0 0.01 0
1.35  0 0.01 0
