-1.35  0 0.01 0
-1.25  0 0.01 0
-1.15  0.0428988 0.01 0.00176257
-1.05  0.0310162 0.01 0.000208369
-0.95  0.0205659 0.01 0.000179486
-0.85  0.0121788 0.01 0.000163109
-0.75  0.00600603 0.01 0.00014934
-0.65  0.00140089 0.01 0.000140822
-0.55  -0.00210341 0.01 0.000133742
-0.45  -0.00380442 0.01 0.000127135
-0.35  -0.00431694 0.01 0.000123406
-0.25  -0.00381229 0.01 0.000122432
-0.15  -0.00277077 0.01 0.000119795
-0.05  -0.0012113 0.01 0.000119215
0.05  0.000571629 0.01 0.000119575
0.15  0.00235916 0.01 0.000121198
0.25  0.00573842 0.01 0.000165777
0.35  0.00897718 0.01 0.000766526
0.45  0 0.01 0
0.55  0 0.01 0
0.65  0 0.01 0
0.75  0 0.01 0
0.85  0 0.01 0
0.95  0 0.01 0
1.05  0 0.01 0
1.15  0 0.01 0
1.25  0 0.01 0
1.35  0 0.01 0
